키워드,대분류,소분류
교보문고,취미/자기계발,도서
넷플릭스,구독,영상/음악
왓챠,구독,영상/음악
유튜브,구독,영상/음악
구글플레이,구독,앱/디지털
Patreon,구독,앱/디지털
PAYPAL,구독,앱/디지털
모바일티머니,교통비,대중교통
ktIOT,통신비,기타통신
SK텔레콤,통신비,휴대폰요금
KT,통신비,휴대폰요금
LG유플러스,통신비,휴대폰요금
스타벅스,식비,카페/디저트
이디야,식비,카페/디저트
세븐일레븐,식비,편의점
GS25,식비,편의점
CU,식비,편의점
이마트24,식비,편의점
롯데백화점,쇼핑,백화점/의류
네이버페이,생활용품,온라인쇼핑
쿠팡,생활용품,온라인쇼핑
레고,취미/자기계발,취미용품
혈당측정기,의료/건강,의료용품
메필렉스,의료/건강,의료용품
밴드,의료/건강,의료용품
영양제,의료/건강,건강식품
고양이,반려동물,반려용품
스크래쳐,반려동물,반려용품
환묘복,반려동물,반려용품
세제,생활용품,세제/세정
클리너,생활용품,세제/세정
바디워시,생활용품,욕실/위생
급여,수입,급여
당근,수입,중고거래
환급,수입,캐시백/환급
관리비,주거/공과금,관리비
원세,주거/공과금,월세
지에스25,식비,편의점
코레일유통,식비,편의점
얼음과자24,식비,편의점
픽미픽미,식비,편의점
햄버거,식비,외식
우아한형제들,식비,배달음식
전남대학교소비자,식비,학생식당/생협
정기과금_카카오,구독,앱/디지털
결제대행,구독,앱/디지털
이브릿지,구독,앱/디지털
오늘의집,생활용품,온라인쇼핑
대영약국,의료/건강,약국
카카오페이손해보,보험,소액보험료
하나주택청약,저축,주택청약
우정사업본부,주거/공과금,우편/택배
삼성페이(충전),이체,선불충전
토뱅정제익,이체,계좌이체
